instance_id,n,p,replicate,method,step,expected_energy
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,44,-1.5904300677606853
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,45,-1.5938058341706056
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,46,-1.5974364149851477
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,47,-1.6013203587638147
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,48,-1.6054493215622032
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,49,-1.6098094340439055
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,50,-1.6143827922699527
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,51,-1.6191489663713448
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,52,-1.6240864381395361
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,53,-1.6291738979265709
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,54,-1.634391351310414
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,55,-1.639721005276018
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,56,-1.64514792108813
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,57,-1.6506604358556451
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,58,-1.6562503666135262
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,59,-1.6619130194664913
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,60,-1.6676470320654166
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,61,-1.6734540807051599
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,62,-1.679338484031749
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,63,-1.6853067341753338
ER_n006_p010_r01,6,0.1,1,warm_start_sdp,64,-1.6913669835453846
