overall,metric,count,mean,median,std,iqr,q25,q75,improvement_rate,wilcoxon_p_value,n,p
,delta_energy,40,-0.5323563359398182,-0.4039602398624676,0.34608968979235694,0.38911289697940343,-0.661393082752352,-0.27228018577294855,1.0,9.094947017729282e-13,12.0,
,delta_energy_variance,40,-0.4063872104844828,-0.3347705022134967,0.2290764844169994,0.27935160739370624,-0.5171215612892079,-0.2377699538955017,1.0,9.094947017729282e-13,12.0,
,delta_p_ground,40,0.35948014847815885,0.27250333976169416,0.22119436250883662,0.29202992177133696,0.1890760319412757,0.48110595371261267,1.0,9.094947017729282e-13,12.0,
,delta_expected_feasible_energy,40,-0.42412907442467873,-0.3196260743343553,0.3212539512694795,0.34719814478372496,-0.5400200484837341,-0.19282190370000912,1.0,9.094947017729282e-13,12.0,
,delta_feasible_energy_variance,40,-0.2613539225140717,-0.22701065032352913,0.1962638943488513,0.22098820566975097,-0.35910764147329133,-0.13811943580354036,0.925,1.7280399333685637e-11,12.0,
,delta_p_feas,40,0.06743426941087474,0.04185750877661125,0.05720506912749372,0.09445529263426371,0.0265156718809645,0.12097096451522821,0.975,2.7284841053187847e-12,12.0,
,delta_energy,30,-0.4772474597584361,-0.3716801012167812,0.34558007871190227,0.32106132094621803,-0.6343636481203643,-0.31330232717414624,1.0,8.650185646450623e-07,,0.1
,delta_energy_variance,30,-0.3319183070312394,-0.3295040109304963,0.22626042997197918,0.15178446146641725,-0.3895544153619098,-0.23776995389549258,1.0,8.650185646450623e-07,,0.1
,delta_p_ground,30,0.346775503517926,0.26954069339132203,0.23293486856961396,0.26947404465769004,0.19188902837770533,0.46136307303539537,1.0,8.650185646450623e-07,,0.1
,delta_expected_feasible_energy,30,-0.36384546709817384,-0.2829756031059326,0.30869015638633146,0.3158526321858224,-0.4697587927081979,-0.15390616052237552,0.9,1.586086587369135e-06,,0.1
,delta_feasible_energy_variance,30,-0.19494071628143836,-0.22122095911922773,0.17022450219091884,0.24865594849737982,-0.30325370360702153,-0.054597755109641696,0.8,7.4523046462394875e-06,,0.1
,delta_p_feas,30,0.0726588732040647,0.0395304938918242,0.06291238093155652,0.11762907766717473,0.025335117883150324,0.14296419555032505,1.0,8.650185646450623e-07,,0.1
,delta_energy,30,-0.47475516634474063,-0.4857863064287178,0.3789331899625954,0.5418516105863366,-0.6877819420315815,-0.1459303314452449,0.9333333333333333,5.122274160385132e-08,,0.3
,delta_energy_variance,30,-0.3262855712050793,-0.39941699014148535,0.22565917947796865,0.3685911045266499,-0.5053578782967771,-0.13676677377012725,0.9333333333333333,9.313225746154785e-09,,0.3
,delta_p_ground,30,0.357710050725501,0.34006861368773644,0.2850292884951408,0.45219967599649746,0.12491500656057185,0.5771146825570693,0.9,6.51925802230835e-08,,0.3
,delta_expected_feasible_energy,30,-0.4181524215822691,-0.4315071655920084,0.3565800018968143,0.5189261395734092,-0.6216802525726746,-0.1027541129992654,0.8333333333333334,3.4552067518234253e-07,,0.3
,delta_feasible_energy_variance,30,-0.23795043232278884,-0.28462724510342857,0.18648885348455554,0.27919906650878124,-0.3774900030651469,-0.0982909365563657,0.9333333333333333,8.195638656616211e-08,,0.3
,delta_p_feas,30,0.035584501177073236,0.03697314873417065,0.01658244968933632,0.023792716044677073,0.0235961241785567,0.04738884022323377,1.0,9.313225746154785e-10,,0.3
,delta_energy,30,-0.4221150440167199,-0.36224999540902214,0.23986566910384755,0.3076953546358452,-0.5444647307130197,-0.23676937607717452,1.0,9.313225746154785e-10,,0.5
,delta_energy_variance,30,-0.34566950910374244,-0.3291809858867611,0.16897251429259266,0.1838392179130843,-0.42622158539713273,-0.24238236748404843,1.0,9.313225746154785e-10,,0.5
,delta_p_ground,30,0.3269485660424547,0.29029962329411296,0.16763625749048894,0.231330762953721,0.20030912276772064,0.43163988572144163,1.0,9.313225746154785e-10,,0.5
,delta_expected_feasible_energy,30,-0.37654255998687985,-0.33287933715824125,0.22234027416772595,0.24989296060192767,-0.481561766487322,-0.23166880588539435,1.0,9.313225746154785e-10,,0.5
,delta_feasible_energy_variance,30,-0.2840549463336964,-0.27898216469952825,0.1445919000863119,0.16166782376119612,-0.3512870853766356,-0.1896192616154395,1.0,9.313225746154785e-10,,0.5
,delta_p_feas,30,0.032006201935486436,0.0331669242226776,0.016614236029816577,0.019490099759588028,0.02334921978069865,0.04283931954028668,0.9666666666666667,4.6566128730773926e-09,,0.5
,delta_energy,30,-0.2540781923953553,-0.2272990117842566,0.17154093531913248,0.2013931399563559,-0.34381540687557566,-0.14242226691921975,0.9666666666666667,2.7939677238464355e-09,,0.7
,delta_energy_variance,30,-0.22547667251231032,-0.2193055448839386,0.12616246070324524,0.16511862350335527,-0.32368322998754423,-0.15856460648418896,0.9666666666666667,2.7939677238464355e-09,,0.7
,delta_p_ground,30,0.20212686377892727,0.17276343691597454,0.1383005628615165,0.14919725092177416,0.1234667632340557,0.27266401415582986,0.9666666666666667,2.7939677238464355e-09,,0.7
,delta_expected_feasible_energy,30,-0.21682139728299002,-0.1927352256974752,0.16021746371692125,0.18461789905240245,-0.29541421841723325,-0.1107963193648308,0.9666666666666667,2.7939677238464355e-09,,0.7
,delta_feasible_energy_variance,30,-0.18174406601983514,-0.1671308951409704,0.1085392384308846,0.14681468742025505,-0.25942478011808756,-0.11261009269783251,0.9333333333333333,4.6566128730773926e-09,,0.7
,delta_p_feas,30,0.029998572178726313,0.0270918143838448,0.024270804537615976,0.026108164433700447,0.014712542747883901,0.04082070718158435,0.9666666666666667,1.862645149230957e-09,,0.7
,delta_energy,10,-0.2734886742789309,-0.25945755955829464,0.24941897111983055,0.26213712274745044,-0.3145293394716136,-0.05239221672416318,1.0,0.0009765625,6.0,0.1
,delta_energy_variance,10,-0.19455402715076778,-0.22524137191321195,0.1456649211406584,0.21511621062770964,-0.26122854065545487,-0.04611233002774522,1.0,0.0009765625,6.0,0.1
,delta_p_ground,10,0.237759201448518,0.22454044202544926,0.21586932760094626,0.22189389469174525,0.047646798699576776,0.26954069339132203,1.0,0.0009765625,6.0,0.1
,delta_expected_feasible_energy,10,-0.23482359368543668,-0.2234915183159246,0.23557503920314307,0.25931707577631674,-0.2821428537034374,-0.022825777927120625,0.7,0.013671875,6.0,0.1
,delta_feasible_energy_variance,10,-0.15509628856483984,-0.18664766895069154,0.1275662610366048,0.20078241812061498,-0.22292639047682467,-0.022143972356209678,0.7,0.013671875,6.0,0.1
,delta_p_feas,10,0.0331577900532009,0.0272210965701176,0.00935242882164629,0.014820230296742197,0.0258066125548922,0.0406268428516344,1.0,0.0009765625,6.0,0.1
,delta_energy,10,-0.2887763037620187,-0.19629004280139206,0.29426525498471606,0.5411274371734651,-0.5747231188472106,-0.0335956816737455,0.9,0.0048828125,6.0,0.3
