instance_id,path,n,p,replicate,num_edges,density_realized,T,N_steps,dt,angle_scale,common_time,sdp_time,base_simulation_time,warm_simulation_time,sdp_status,sdp_solver,sdp_objective,sdp_solver_time,sdp_num_iters,clip_eps,warm_c_min,warm_c_max,warm_c_mean,warm_c_std,base_max_norm_deviation,base_raw_max_norm_deviation,warm_max_norm_deviation,warm_raw_max_norm_deviation,evolution_method,warm_mixer_type,ode_method,ode_rtol,ode_atol,base_final_expected_energy,base_energy_variance,base_ground_energy,base_ground_state_probability,base_expected_feasible_energy,base_feasible_energy_variance,base_feasibility_probability,warm_final_expected_energy,warm_energy_variance,warm_ground_energy,warm_ground_state_probability,warm_expected_feasible_energy,warm_feasible_energy_variance,warm_feasibility_probability,delta_energy,delta_energy_variance,delta_expected_feasible_energy,delta_feasible_energy_variance,delta_p_ground,delta_p_feas
ER_n009_p050_r08,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n009_p050_r08.edgelist,9,0.5,8,22,0.6111111111111112,10.0,100,0.1,1.0,0.002208599995356053,0.33138409999082796,1.3444082000060007,0.6524701000016648,optimal,SCS,-4.000023696307584,0.29354430000000004,1825,1e-06,1e-06,0.999999,0.4444446314010735,0.3932000991058152,4.440892098500626e-16,3.4308444973873975e-11,4.440892098500626e-16,4.3291703555325967e-11,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-3.561899722054589,0.4031004474934602,-4.0,0.6338269319917242,-3.653277809366052,0.29777187244305897,0.9220755784874073,-3.9126709206098154,0.08290268532506026,-4.0,0.9141965720175994,-3.954002900015159,0.044784167993068384,0.9578215585046679,-0.3507711985552264,-0.3201977621683999,-0.3007250906491068,-0.2529877044499906,0.28036964002587517,0.03574598001726059
ER_n009_p050_r09,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n009_p050_r09.edgelist,9,0.5,9,17,0.4722222222222222,10.0,100,0.1,1.0,0.0024492000229656696,0.04351219997624867,0.3902785000100266,0.5981657000083942,optimal,SCS,-4.000033516351209,0.015582,350,1e-06,1e-06,0.999999,0.4444445309208128,0.46398781812841033,6.661338147750939e-16,2.3106294655406145e-11,2.220446049250313e-16,1.6981971384666394e-11,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-3.531037404499137,0.467238194319784,-4.0,0.6270135863663748,-3.6263300257067064,0.3476591659395021,0.9235924327807741,-3.9272429035567398,0.06746504805550521,-4.0,0.9272431929287257,-3.9622482168401976,0.03632659578104307,0.9636216227809571,-0.39620549905760294,-0.39977314626427873,-0.3359181911334912,-0.311332570158459,0.30022960656235087,0.04002919000018301
ER_n009_p070_r00,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n009_p070_r00.edgelist,9,0.7,0,23,0.6388888888888888,10.0,100,0.1,1.0,0.0022400000016205013,0.07961410001735203,0.4031375999911688,0.6505933000007644,optimal,SCS,-5.000024604987399,0.0079373,175,1e-06,1e-06,0.999999,0.5555554494685901,0.4649593150391965,4.440892098500626e-16,3.666367209831378e-11,2.220446049250313e-16,1.864330911871548e-11,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-4.646566041106015,0.4146899267524167,-5.0,0.7251144654766033,-4.702585036444942,0.3371637499746736,0.9516799294249862,-4.931097040335846,0.06415642338572466,-5.0,0.9310972619847722,-4.964319330552309,0.03440757156602323,0.9655486793134399,-0.2845309992298315,-0.3505335033666921,-0.2617342941073666,-0.3027561784086503,0.20598279650816886,0.013868749888453658
ER_n009_p070_r01,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n009_p070_r01.edgelist,9,0.7,1,29,0.8055555555555556,10.0,100,0.1,1.0,0.0023471000022254884,0.028659900010097772,0.45618520001880825,0.6793126999982633,optimal,SCS,-6.000018595546774,0.0075058,200,1e-06,1e-06,0.999999,0.6666663661296127,0.40320204523810416,4.440892098500626e-16,5.1133097755950985e-11,2.220446049250313e-16,3.415812077633973e-11,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-5.786860095399733,0.20514171971610612,-6.0,0.8043339312521144,-5.838633387491525,0.15682551382824766,0.947407988812686,-5.954928415948349,0.0437842815285437,-6.0,0.9552852086094106,-5.978226317240024,0.021566979937534623,0.9764148130202366,-0.16806832054861598,-0.16135743818756243,-0.13959292974849902,-0.13525853389071305,0.1509512773572962,0.02900682420755063
ER_n009_p070_r02,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n009_p070_r02.edgelist,9,0.7,2,29,0.8055555555555556,10.0,100,0.1,1.0,0.0018656000029295683,0.03126670001074672,0.410675999999512,0.7427995999751147,optimal,SCS,-5.000015137458551,0.012209099999999999,350,1e-06,1e-06,0.999999,0.555555442881058,0.3541582917263804,6.661338147750939e-16,5.1110560228551094e-11,2.220446049250313e-16,5.034506145307205e-11,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-4.65732258912783,0.32518514018291456,-5.0,0.7037577821780885,-4.755204147518103,0.2282401466083565,0.9069183135276422,-4.861831501502522,0.12948664129137719,-5.0,0.8669863089023319,-4.929478674716918,0.06834457078928105,0.9313712226349833,-0.20450891237469193,-0.19569849889153737,-0.17427452719881575,-0.15989557581907546,0.16322852672424337,0.024452909107341103
ER_n009_p070_r03,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n009_p070_r03.edgelist,9,0.7,3,25,0.6944444444444444,10.0,100,0.1,1.0,0.002597399987280369,0.03768120001768693,0.5491992000024766,0.7393262999830768,optimal,SCS,-5.000020273491517,0.008936099999999999,200,1e-06,1e-06,0.999999,0.5555552016768801,0.47479235630389977,2.220446049250313e-16,4.136446740687916e-11,2.220446049250313e-16,1.8725576644840203e-11,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-4.53234904631867,0.5072218731149158,-5.0,0.6431021146430506,-4.600546313422593,0.41019805834579154,0.9467405088646457,-4.95999345577742,0.03840671464016167,-5.0,0.95999360185515,-4.979588386685473,0.019994986387395317,0.9799969165194079,-0.4276444094587504,-0.4688151584747542,-0.3790420732628794,-0.3902030719583962,0.3168914872120995,0.03325640765476223
ER_n009_p070_r04,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n009_p070_r04.edgelist,9,0.7,4,27,0.75,10.0,100,0.1,1.0,0.002988000022014603,0.0634561000042595,0.5142423999786843,0.708376299997326,optimal,SCS,-5.0000223816364295,0.037773400000000006,750,1e-06,1e-06,0.999999,0.5555566735264162,0.44100858873706816,4.440892098500626e-16,4.61918281402518e-11,2.220446049250313e-16,2.4374391394133e-11,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-4.530656497452658,0.41606352509767897,-5.0,0.6075202794841723,-4.621953369140233,0.3156288894246329,0.9201572926572013,-4.90573228822165,0.08550413295525792,-5.0,0.9057629835601206,-4.94197962987945,0.054654026757339304,0.9615526124141118,-0.37507579076899145,-0.330559392142421,-0.32002626073921725,-0.2609748626672936,0.29824270407594833,0.041395319756910576
ER_n009_p070_r05,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n009_p070_r05.edgelist,9,0.7,5,29,0.8055555555555556,10.0,100,0.1,1.0,0.0025187999999616295,0.04115309999906458,0.4632487999915611,0.7061522000003606,optimal,SCS,-5.000015099111145,0.0137769,275,1e-06,0.2377574833271005,0.999999,0.5555555691637382,0.24685968390466173,4.440892098500626e-16,5.109945799830484e-11,4.440892098500626e-16,7.019251846429597e-11,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-4.571257996775723,0.39479552094180637,-5.0,0.6403557946911247,-4.663039169497379,0.29179990250598065,0.9204768670765671,-4.864582985742955,0.13420347385951864,-5.0,0.8726014683644359,-4.918817397903219,0.07935505162440472,0.9472770285581212,-0.2933249889672318,-0.2605920470822877,-0.2557782284058394,-0.21244485088157594,0.23224567367331117,0.026800161481554174
ER_n009_p070_r06,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n009_p070_r06.edgelist,9,0.7,6,24,0.6666666666666666,10.0,100,0.1,1.0,0.002964799990877509,0.05007719999412075,0.46190299998852424,0.7348950000014156,optimal,SCS,-4.0000189822486005,0.0211883,400,1e-06,1e-06,0.5874821944451487,0.44444467783203767,0.18013053543031274,5.551115123125783e-16,3.896638567368882e-11,4.440892098500626e-16,6.054268197885904e-11,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-3.3923109303296686,0.477716334756216,-4.0,0.5027093748752203,-3.498460324291493,0.3534608334808015,0.9175668950681097,-3.765267971231485,0.23454203588478256,-4.0,0.7908905077671846,-3.8253650464592828,0.1686642548454966,0.9446772931604115,-0.3729570409018166,-0.24317429887143344,-0.3269047221677899,-0.18479657863530488,0.28818113289196434,0.027110398092301757
ER_n009_p070_r07,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n009_p070_r07.edgelist,9,0.7,7,24,0.6666666666666666,10.0,100,0.1,1.0,0.0034407000057399273,0.06494630000088364,0.46047059999546036,0.712063599989051,optimal,SCS,-4.236086101847244,0.035747799999999996,800,1e-06,0.4472049811183448,0.5527799575999827,0.47067358520936026,0.039795753224456595,5.551115123125783e-16,3.896638567368882e-11,4.440892098500626e-16,4.184241841898029e-11,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-3.4928656764439627,0.43430692097246226,-4.0,0.5783657333711103,-3.589166200901453,0.32189944784169133,0.9219239467532017,-3.501626275973527,0.42579680419265614,-4.0,0.5832951534639934,-3.590434429320466,0.32274829305586344,0.9271139736816538,-0.008760599529564317,-0.00851011677980612,-0.0012682284190130844,0.0008488452141721115,0.004929420092883108,0.005190026928452163
ER_n009_p070_r08,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n009_p070_r08.edgelist,9,0.7,8,27,0.75,10.0,100,0.1,1.0,0.0029060000088065863,0.0359098999761045,0.4569255000096746,0.7014787000080105,optimal,SCS,-5.00001824587588,0.01052,200,1e-06,1e-06,0.999999,0.5555555049508376,0.43798624166423245,6.661338147750939e-16,4.6180947954610474e-11,4.440892098500626e-16,3.1495028807171366e-11,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-4.596342527505977,0.38727801520332655,-5.0,0.6626307343071347,-4.672606794622911,0.2940492094537256,0.9364608289029226,-4.9568947822980185,0.04194300209749174,-5.0,0.9572276962686969,-4.979247654476766,0.020568181992202155,0.9773903775476639,-0.3605522547920419,-0.3453350131058348,-0.3066408598538555,-0.2734810274615234,0.29459696196156215,0.0409295486447413
ER_n009_p070_r09,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n009_p070_r09.edgelist,9,0.7,9,26,0.7222222222222222,10.0,100,0.1,1.0,0.0024204000073950738,0.04675690000294708,0.457573699997738,0.698380999994697,optimal,SCS,-5.000021674626122,0.020485600000000003,425,1e-06,0.13460563935725442,0.999999,0.5555554818741187,0.3649420243581259,5.551115123125783e-16,4.381617291215889e-11,4.440892098500626e-16,6.71545041797117e-11,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-4.7573075765488495,0.23071429573456,-5.0,0.7794733242040313,-4.830396328690512,0.16624595965534406,0.9250993137041398,-4.9431687896848775,0.05632368381833926,-5.0,0.9443631554039433,-4.972758207357801,0.027112660755800762,0.9705054771909701,-0.185861213136028,-0.17439061191622074,-0.14236187866728933,-0.1391332988995433,0.16488983119991207,0.04540616348683035
ER_n012_p010_r00,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n012_p010_r00.edgelist,12,0.1,0,6,0.09090909090909091,10.0,100,0.1,1.0,0.046571799990488216,0.25339279999025166,1.4179992999997921,1.9652510000159964,optimal,SCS,-2.00007338444421,0.2067639,2175,1e-06,1e-06,0.6323673700152149,0.16666633505200903,0.22536069507552348,2.220446049250313e-15,5.290212712338871e-12,4.440892098500626e-16,4.94243757032109e-10,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-1.273154251221812,0.5902782881757445,-2.0,0.45517903577657454,-1.5481067329388691,0.26524140931753687,0.8173669431316231,-1.926641144432595,0.07146640070429282,-2.0,0.928224473184492,-1.9579091549075605,0.041895846975356206,0.9682141623770242,-0.6534868932107831,-0.5188118874714517,-0.4098024219686913,-0.22334556234218067,0.47304543740791744,0.15084721924540112
ER_n012_p010_r01,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n012_p010_r01.edgelist,12,0.1,1,7,0.10606060606060606,10.0,100,0.1,1.0,0.04686649999348447,0.3081508000032045,1.3776297000003979,2.2524507000052836,optimal,SCS,-2.000068947000413,0.2657749,3500,1e-06,1e-06,0.44041050746068133,0.16666672503535895,0.17566679410236533,1.6653345369377348e-15,3.959943484233008e-12,4.440892098500626e-16,4.525018137968573e-10,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-1.2968290790808892,0.588193492888812,-2.0,0.4728688037303784,-1.5640158946885392,0.2634119186332057,0.8255810959477713,-1.707344262572385,0.2591173810275163,-2.0,0.7333095283334892,-1.7439995894088212,0.2165561050619262,0.9686465184550368,-0.41051518349149574,-0.32907611186129565,-0.17998369472028197,-0.046855813571279464,0.2604407246031108,0.1430654225072655
ER_n012_p010_r02,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n012_p010_r02.edgelist,12,0.1,2,9,0.13636363636363635,10.0,100,0.1,1.0,0.04613269999390468,0.6092284000187647,1.4414092999941204,2.040874600003008,optimal,SCS,-2.0000586377306333,0.5642709,7675,1e-06,1e-06,0.5127346682166014,0.16666535091836196,0.16355631853326225,1.5543122344752192e-15,4.703570866126938e-12,1.3322676295501878e-15,3.0257663041766136e-10,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-1.4094953114671929,0.565967182717432,-2.0,0.5589273688695203,-1.6511283106141619,0.24034908984050118,0.849791767881751,-1.7687347157826008,0.21424438441163138,-2.0,0.7867720225509109,-1.8013897970011916,0.17980009675644917,0.9692799191715138,-0.3592394043154079,-0.35172279830580055,-0.15026148638702974,-0.06054899308405201,0.22784465368139062,0.11948815128976276
ER_n012_p010_r03,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n012_p010_r03.edgelist,12,0.1,3,8,0.12121212121212122,10.0,100,0.1,1.0,0.04735969999455847,0.05642410001019016,1.3834353999991436,1.9035340000118595,optimal,SCS,-3.0000857493800503,0.0143033,175,1e-06,1e-06,0.999999,0.25000050000000007,0.4522661123326117,2.4424906541753444e-15,4.359512750795602e-12,4.440892098500626e-16,2.0358714714063808e-10,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-1.646435583872039,0.9124454370119971,-3.0,0.1886791539136841,-1.9120766963829745,0.5371439734909789,0.8528462298243711,-2.9999992997268397,2.951633938013416e-06,-3.0,0.999999754404576,-2.999999870827332,1.2917266298352135e-07,0.9999998835772239,-1.3535637158548006,-0.912442485378059,-1.0879231744443574,-0.5371438443183159,0.8113206004908919,0.14715365375285283
ER_n012_p010_r04,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n012_p010_r04.edgelist,12,0.1,4,5,0.07575757575757576,10.0,100,0.1,1.0,0.05118089998723008,0.20209480001358315,1.5047965999983717,1.9455037000006996,optimal,SCS,-2.000076529754979,0.1555702,1225,1e-06,1e-06,0.4068984828750116,0.1666688339957185,0.11659158936130638,4.6629367034256575e-15,6.788347661768057e-12,2.9976021664879227e-15,2.9920488309187476e-10,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-1.1344884943401548,0.5894062916387455,-2.0,0.3560671345742432,-1.4354860864561159,0.2695175627831434,0.7959904450897527,-1.4636781577604074,0.36418026865893727,-2.0,0.5212497740898033,-1.5013377788115436,0.3211617569688867,0.9708154080619222,-0.3291896634202527,-0.2252260229798082,-0.06585169235542776,0.051644194185743286,0.16518263951556011,0.17482496297216954
